1,2,3,4,5,6,7,8
70,90,10,90,80,10,40,100
70,90,60,90,80,70,80,100
70,90,70,80,100,100,90,100
80,100,60,80,90,70,60,90
60,90,80,80,90,60,10,100
80,100,10,100,80,80,80,100
70,80,50,90,90,70,90,100
80,90,40,100,80,50,10,100
70,90,40,10,90,70,40,10
60,70,30,60,100,70,10,10
60,70,60,90,90,70,90,10
80,90,60,50,90,80,90,100
60,90,70,90,100,80,90,80
60,90,40,90,80,20,90,100
60,90,70,80,90,70,10,90
60,60,40,90,70,60,10,100
70,90,10,90,100,90,90,100
100,100,70,100,100,90,90,100
70,90,70,70,100,90,90,100
60,100,80,80,90,90,100,100
70,100,20,100,90,90,80,100
70,100,80,100,90,90,80,100
70,100,70,90,70,90,10,100
80,100,70,100,90,90,80,100
70,90,70,80,90,10,10,60
70,90,60,90,100,100,90,10
80,90,70,90,90,90,100,100
80,100,90,90,100,90,100,100
80,100,70,90,100,90,80,100
80,100,70,90,100,50,80,100
70,90,70,90,100,20,70,10
70,90,60,90,100,30,90,100
70,100,60,90,80,90,80,100
50,90,90,80,100,90,90,100
60,90,90,70,90,20,90,10
80,100,90,100,100,20,100,100
50,100,90,90,100,90,80,100
80,90,60,90,100,50,90,80
70,90,60,90,100,90,90,90
